num_functions,num_classes,avg_function_length,max_function_length,avg_class_size,max_nesting_depth,avg_params_per_function,cyclomatic_complexity,total_lines,code_lines,total_variables,bad_var_name_ratio,avg_variable_name_length,naming_consistency,docstring_ratio,type_hint_ratio,try_except_count,error_handling_ratio,magic_number_count,comment_ratio,avg_returns_per_function,import_count,repo_name,quality_label
2.0,0.0,30.0,34.0,0.0,3.0,0.0,9.0,84.0,55.0,88.0,0.022727272727272728,6.613636363636363,0.38636363636363635,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,vinta/awesome-python,1
2.6,0.1,28.054166666666664,39.9,5.2,1.85,2.329761904761905,6.4,99.4,76.7,75.75,0.021005923202614376,5.465787110523967,0.20079937620587787,0.7608333333333334,0.9,0.0,0.0,5.05,0.02787487168933701,1.1958333333333333,1.45,TheAlgorithms/Python,1
7.5,1.65,12.534562841530054,30.1,54.879999999999995,2.0,2.624605776736924,20.4,155.35,121.15,253.55,0.04213785265138801,6.273137614515774,0.2158983212983357,0.02794871794871795,0.01583333333333333,0.3,0.027115534738485558,8.6,0.024225789077298963,0.8135811865729898,4.7,AUTOMATIC1111/stable-diffusion-webui,1
4.857142857142857,0.5714285714285714,28.442857142857147,83.14285714285714,31.0,3.142857142857143,1.5809523809523809,20.571428571428573,256.0,193.14285714285714,260.0,0.025824285351994335,6.414126776477909,0.28623562448050766,0.18877551020408162,0.03571428571428571,1.7142857142857142,0.2404761904761905,6.571428571428571,0.0840986370695218,0.8142857142857143,7.142857142857143,huggingface/transformers,1
3.5,0.4,9.827261904761905,16.7,4.62,1.75,0.8472619047619048,10.65,99.35,76.0,93.7,0.028215351788571746,6.167902636037221,0.2412791371544542,0.018333333333333333,0.06178571428571429,0.25,0.08333333333333333,1.15,0.03697548801469473,0.651547619047619,5.1,yt-dlp/yt-dlp,1
2.7,0.8,6.544413919413918,10.9,4.023076923076923,1.9,0.5966117216117216,7.15,68.8,49.65,71.7,0.031031122451460152,6.3499928613358305,0.2531444825349313,0.0,0.0,1.3,0.08031135531135532,2.35,0.06347844516943942,0.32344322344322346,6.6,ytdl-org/youtube-dl,1
10.25,2.1,17.168827549910855,55.7,52.92410130718954,2.45,1.529479877422511,20.6,353.45,286.4,204.05,0.002774891356908361,8.122732540710397,0.28492687484548945,0.7479006410256411,0.8716666666666667,1.0,0.2639716312056738,0.85,0.023842237631503862,0.8636770899264814,7.7,langchain-ai/langchain,1
4.1,2.5,13.548333333333336,29.0,5.096875,1.8,1.8395833333333336,15.8,345.7,260.85,215.25,0.00549790633503688,7.177324028675909,0.177147393036113,0.4769444444444444,0.07958333333333334,3.6,1.59125,5.1,0.03234730174303762,0.2341666666666667,7.15,open-webui/open-webui,1
4.35,1.4,13.569686147186147,37.45,13.183730158730157,2.0,1.1625757575757576,19.45,154.4,128.8,186.85,0.03431771752067153,4.819001136339675,0.16085153324557283,0.14317460317460318,0.4615909090909091,2.4,0.6076839826839827,7.0,0.016377971683078633,0.8846320346320345,4.4,Comfy-Org/ComfyUI,1
8.4,1.8,20.25504475444464,69.05,25.142857142857146,3.0,1.4055399284163586,22.55,214.35,170.9,267.8,0.046909359354112716,6.259747731716287,0.25750466372997854,0.1600148315736551,0.17901110426568093,0.55,0.06060425101214575,11.95,0.016246526452533792,0.557850613154961,6.4,openai/whisper,1
3.4,1.05,44.083525641025645,101.7,13.747916666666665,4.55,0.9245920745920746,21.1,321.85,251.1,219.0,0.011361455148553678,8.075002361218163,0.4395481090478845,0.28531926406926406,0.28630536130536133,2.0,0.4227564102564102,6.95,0.04762001322699255,1.018181818181818,7.5,Shubhamsaboo/awesome-llm-apps,1
3.375,0.375,4.1449404761904765,15.5,46.109375,0.8125,0.47857142857142854,7.75,152.5,106.625,63.0625,0.0011557971014492753,8.494364157493708,0.5435065622298765,0.17806818181818182,0.0,0.4375,0.03720238095238095,1.75,0.14971298496783864,0.17440476190476192,2.1875,django/django,1
1.85,0.55,10.916666666666666,22.9,23.28,1.0,0.6166666666666667,8.65,79.95,60.8,59.65,0.005087139790686553,6.2948232848335355,0.4086382864059238,0.28473389355742296,0.24666666666666667,0.4,0.05333333333333333,0.3,0.2079283042461108,0.27999999999999997,3.45,microsoft/markitdown,1
5.05,1.3,6.939938672438673,18.15,52.365476190476194,1.35,1.2315331890331889,12.5,160.75,122.3,150.35,0.0,8.699991059406226,0.3680341817227692,0.7,0.65,0.45,0.06426767676767678,0.75,0.03443914032283269,0.6664430014430015,8.2,home-assistant/core,1
4.0,0.0,6.125,12.0,0.0,2.5,1.875,5.5,45.5,32.5,68.0,0.0,4.702399295619635,0.13922518159806296,0.375,0.75,0.0,0.0,3.5,0.02204457364341085,1.0,2.0,bregman-arie/devops-exercises,1
5.95,0.05,13.366494222241176,45.25,1.1,2.15,0.9758988217067485,24.7,206.0,147.95,259.4,0.003146778015269268,6.426957382154226,0.27601414827995996,0.09760947893569845,0.4752194198078345,2.2,0.21119048126670079,24.85,0.07360709909473892,0.8196372022286657,6.15,hacksider/Deep-Live-Cam,1
8.9,2.1,24.036154523442658,72.95,271.72333333333336,3.05,1.893665896250642,59.0,501.65,366.2,472.25,0.013885524071706961,7.113471646349898,0.33789309603745016,0.6242689075630252,0.5494023772837332,3.9,0.7007658302149827,22.4,0.10419567206905771,1.2841881282559247,12.1,browser-use/browser-use,1
